product_id,product_name,category,brand,cost_price,selling_price
P001,Product 1,Fashion,TechPro,2391,2877
P002,Product 2,Home,EcoLife,3912,6371
P003,Product 3,Grocery,HomeX,2647,4962
P004,Product 4,Fashion,EcoLife,3473,4106
P005,Product 5,Home,HomeX,2412,2587
P006,Product 6,Home,HomeX,1076,1941
P007,Product 7,Grocery,FitMax,1598,1770
P008,Product 8,Electronics,TechPro,1869,4347
P009,Product 9,Electronics,TechPro,4036,5647
P010,Product 10,Home,StyleHub,1434,1707
P011,Product 11,Sports,EcoLife,2060,4155
P012,Product 12,Sports,HomeX,2405,4734
P013,Product 13,Electronics,EcoLife,2860,4201
P014,Product 14,Fashion,FitMax,3257,4456
P015,Product 15,Fashion,StyleHub,1815,2287
P016,Product 16,Fashion,TechPro,4164,5451
P017,Product 17,Electronics,FitMax,3667,5936
P018,Product 18,Sports,FitMax,3034,4620
P019,Product 19,Sports,EcoLife,4191,5951
P020,Product 20,Electronics,EcoLife,4737,6139
P021,Product 21,Home,FitMax,1413,3124
P022,Product 22,Home,EcoLife,3751,5149
P023,Product 23,Grocery,TechPro,4949,5407
P024,Product 24,Home,EcoLife,2828,4780
P025,Product 25,Home,StyleHub,3360,5406
P026,Product 26,Fashion,FitMax,2429,3745
P027,Product 27,Sports,StyleHub,3248,3349
P028,Product 28,Electronics,HomeX,1362,3772
P029,Product 29,Home,TechPro,1088,2075
P030,Product 30,Grocery,StyleHub,2828,4236
P031,Product 31,Sports,StyleHub,4029,4393
P032,Product 32,Electronics,TechPro,2954,3784
P033,Product 33,Electronics,HomeX,2676,4695
P034,Product 34,Electronics,EcoLife,2937,3821
P035,Product 35,Home,StyleHub,3146,4111
P036,Product 36,Home,StyleHub,1073,2873
P037,Product 37,Grocery,HomeX,1389,1909
P038,Product 38,Fashion,HomeX,968,2878
P039,Product 39,Electronics,HomeX,1736,3989
P040,Product 40,Home,EcoLife,4955,5147
P041,Product 41,Home,StyleHub,1906,2059
P042,Product 42,Electronics,EcoLife,1341,2480
P043,Product 43,Sports,StyleHub,963,2030
P044,Product 44,Home,EcoLife,2387,3447
P045,Product 45,Electronics,HomeX,2779,4020
P046,Product 46,Electronics,FitMax,957,2933
P047,Product 47,Sports,HomeX,3698,5805
P048,Product 48,Electronics,EcoLife,4071,4843
P049,Product 49,Sports,FitMax,3718,5548
P050,Product 50,Sports,FitMax,1992,4342
P051,Product 51,Home,TechPro,3646,4696
P052,Product 52,Fashion,StyleHub,1439,1735
P053,Product 53,Electronics,FitMax,1578,3086
P054,Product 54,Electronics,HomeX,1569,2334
P055,Product 55,Grocery,HomeX,4146,4720
