feedback_id,customer_id,product_id,rating,review
F001,C030,P023,5,Good
F002,C027,P051,4,Average
F003,C010,P030,4,Good
F004,C053,P028,5,Good
F005,C044,P010,3,Excellent
F006,C049,P025,3,Good
F007,C047,P007,5,Excellent
F008,C022,P042,3,Good
F009,C027,P016,5,Fast delivery
F010,C050,P013,5,Excellent
F011,C031,P047,4,Value for money
F012,C022,P001,3,Fast delivery
F013,C012,P014,3,Excellent
F014,C020,P041,4,Good
F015,C014,P052,3,Fast delivery
F016,C054,P012,5,Value for money
F017,C052,P043,4,Value for money
F018,C044,P035,5,Value for money
F019,C054,P044,3,Fast delivery
F020,C047,P017,3,Excellent
F021,C037,P008,4,Average
F022,C003,P055,5,Value for money
F023,C033,P029,5,Fast delivery
F024,C020,P037,5,Value for money
F025,C006,P002,5,Excellent
F026,C020,P008,3,Fast delivery
F027,C043,P020,5,Value for money
F028,C020,P026,5,Highly recommended
F029,C021,P034,3,Highly recommended
F030,C019,P052,3,Highly recommended
F031,C005,P026,3,Excellent
F032,C014,P036,4,Excellent
F033,C029,P013,4,Highly recommended
F034,C011,P053,5,Excellent
F035,C038,P034,5,Fast delivery
F036,C015,P044,4,Average
F037,C043,P013,5,Good
F038,C028,P017,3,Good
F039,C005,P012,4,Excellent
F040,C030,P004,4,Highly recommended
F041,C038,P031,3,Highly recommended
F042,C044,P035,5,Average
F043,C034,P042,5,Value for money
F044,C037,P001,4,Good
F045,C048,P039,5,Good
F046,C013,P049,5,Fast delivery
F047,C032,P037,5,Excellent
F048,C021,P040,5,Fast delivery
F049,C003,P012,5,Fast delivery
F050,C050,P018,3,Average
F051,C014,P005,5,Highly recommended
F052,C034,P043,4,Highly recommended
F053,C017,P028,3,Value for money
F054,C003,P007,4,Fast delivery
F055,C045,P027,5,Excellent
