order_item_id,order_id,product_id,quantity,unit_price
OI001,O059,P026,5,4195
OI002,O080,P007,1,6669
OI003,O058,P004,3,5841
OI004,O062,P024,1,1696
OI005,O015,P001,2,1885
OI006,O050,P032,5,4040
OI007,O028,P039,5,6443
OI008,O015,P054,4,5850
OI009,O015,P042,2,540
OI010,O043,P024,2,5909
OI011,O076,P022,2,6545
OI012,O058,P043,4,5722
OI013,O060,P046,1,3247
OI014,O053,P027,2,1808
OI015,O038,P036,4,5013
OI016,O054,P040,3,2826
OI017,O020,P025,2,5406
OI018,O046,P030,5,1130
OI019,O063,P045,1,4773
OI020,O066,P010,1,1260
OI021,O020,P055,3,2109
OI022,O006,P007,1,843
OI023,O054,P041,4,4411
OI024,O046,P024,1,5654
OI025,O059,P041,1,1138
OI026,O005,P029,2,3348
OI027,O066,P054,4,790
OI028,O019,P010,2,4401
OI029,O049,P046,1,4419
OI030,O059,P053,5,6810
OI031,O011,P042,2,6237
OI032,O049,P055,1,3099
OI033,O040,P054,1,3882
OI034,O032,P051,2,1936
OI035,O067,P009,1,6346
OI036,O051,P046,3,5649
OI037,O067,P053,2,2427
OI038,O025,P055,3,5690
OI039,O001,P039,5,4997
OI040,O055,P010,4,2678
OI041,O024,P016,2,528
OI042,O044,P032,5,1005
OI043,O040,P029,2,5351
OI044,O056,P048,3,2315
OI045,O005,P038,1,689
OI046,O042,P015,5,2131
OI047,O080,P038,1,4394
OI048,O033,P008,3,4600
OI049,O063,P002,1,3844
OI050,O076,P040,3,3046
OI051,O070,P011,5,2662
OI052,O062,P044,5,3928
OI053,O027,P035,5,6062
OI054,O028,P026,1,2539
OI055,O071,P003,4,2887
OI056,O016,P009,2,2576
OI057,O070,P036,1,2292
OI058,O058,P026,4,3281
OI059,O029,P027,5,5153
OI060,O021,P031,4,6711
OI061,O063,P015,3,3084
OI062,O062,P023,3,6963
OI063,O058,P018,2,1008
OI064,O002,P008,5,6872
OI065,O047,P015,3,2606
OI066,O064,P006,4,496
OI067,O023,P029,4,3121
OI068,O051,P033,2,1955
OI069,O034,P029,1,5033
OI070,O032,P054,5,5336
OI071,O057,P035,3,6159
OI072,O028,P008,1,3492
OI073,O049,P034,5,1810
OI074,O071,P009,3,3042
OI075,O047,P008,4,379
OI076,O010,P047,4,3021
OI077,O078,P002,5,6297
OI078,O016,P001,3,3213
OI079,O021,P004,3,444
OI080,O067,P019,2,2099
OI081,O053,P019,3,2697
OI082,O080,P036,1,2765
OI083,O069,P037,2,6776
OI084,O041,P050,4,6959
OI085,O030,P051,3,430
OI086,O025,P013,2,920
OI087,O063,P055,5,4229
OI088,O046,P022,5,513
OI089,O028,P005,2,6815
OI090,O023,P045,3,4059
OI091,O037,P053,3,6458
OI092,O077,P043,4,2850
OI093,O036,P030,5,2672
OI094,O003,P009,4,1735
OI095,O071,P012,5,5986
OI096,O032,P036,3,5756
OI097,O039,P007,3,1682
OI098,O031,P048,2,5164
OI099,O005,P010,1,4540
OI100,O075,P052,2,1098
OI101,O026,P001,3,528
OI102,O029,P011,5,3053
OI103,O054,P053,1,3898
OI104,O014,P010,5,6720
OI105,O068,P006,2,4111
OI106,O068,P025,2,3961
OI107,O014,P053,3,1634
OI108,O042,P019,4,5969
OI109,O039,P022,5,6505
OI110,O018,P046,2,3360
OI111,O027,P049,1,2328
OI112,O039,P012,2,2598
OI113,O054,P022,3,3975
OI114,O021,P033,1,4498
OI115,O072,P018,3,2646
OI116,O069,P048,3,1905
OI117,O012,P022,1,4534
OI118,O067,P018,1,3588
OI119,O063,P032,2,5412
OI120,O010,P049,1,3153
