payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY001,O001,2024-11-23,Cash,Pending,3159
PAY002,O002,2025-04-07,Debit Card,Paid,7264
PAY003,O003,2024-09-17,Debit Card,Paid,15414
PAY004,O004,2024-01-25,UPI,Pending,7935
PAY005,O005,2025-02-26,Credit Card,Pending,3915
PAY006,O006,2025-02-10,UPI,Pending,8601
PAY007,O007,2024-05-01,Credit Card,Refunded,2176
PAY008,O008,2024-09-14,Cash,Paid,18310
PAY009,O009,2025-01-30,Debit Card,Pending,12042
PAY010,O010,2024-09-19,Cash,Pending,4172
PAY011,O011,2024-06-19,Cash,Refunded,5866
PAY012,O012,2024-04-26,UPI,Paid,10296
PAY013,O013,2024-09-09,Credit Card,Refunded,18199
PAY014,O014,2024-09-02,Cash,Paid,1208
PAY015,O015,2024-08-21,Debit Card,Paid,6058
PAY016,O016,2024-06-25,Debit Card,Refunded,17845
PAY017,O017,2024-11-26,UPI,Refunded,3674
PAY018,O018,2025-04-18,Credit Card,Paid,8741
PAY019,O019,2024-06-25,UPI,Refunded,520
PAY020,O020,2024-08-16,Credit Card,Paid,9140
PAY021,O021,2024-08-16,Credit Card,Pending,18075
PAY022,O022,2024-06-10,UPI,Pending,19849
PAY023,O023,2024-10-07,Debit Card,Paid,12368
PAY024,O024,2025-02-22,Cash,Pending,892
PAY025,O025,2025-03-07,Cash,Paid,12782
PAY026,O026,2024-04-10,Credit Card,Refunded,15091
PAY027,O027,2024-08-19,Debit Card,Pending,6886
PAY028,O028,2024-12-23,UPI,Pending,16848
PAY029,O029,2024-08-24,UPI,Pending,13365
PAY030,O030,2024-06-15,Credit Card,Paid,5408
PAY031,O031,2024-01-06,UPI,Refunded,11208
PAY032,O032,2024-11-23,UPI,Paid,5655
PAY033,O033,2024-04-07,Cash,Refunded,731
PAY034,O034,2024-12-10,UPI,Paid,3319
PAY035,O035,2024-07-31,UPI,Refunded,15307
PAY036,O036,2024-02-07,UPI,Paid,4960
PAY037,O037,2024-03-04,Debit Card,Pending,5471
PAY038,O038,2024-09-10,Cash,Pending,11966
PAY039,O039,2024-02-08,Cash,Pending,9448
PAY040,O040,2024-08-31,Cash,Refunded,15997
PAY041,O041,2024-09-27,Credit Card,Refunded,4979
PAY042,O042,2024-02-16,Credit Card,Refunded,7906
PAY043,O043,2024-05-10,UPI,Paid,1379
PAY044,O044,2024-11-17,Cash,Paid,14493
PAY045,O045,2024-10-27,Credit Card,Pending,12289
PAY046,O046,2025-02-25,Debit Card,Pending,17395
PAY047,O047,2025-02-11,UPI,Refunded,612
PAY048,O048,2024-03-14,UPI,Refunded,1730
PAY049,O049,2024-03-23,UPI,Paid,1794
PAY050,O050,2025-01-27,UPI,Refunded,8433
PAY051,O051,2024-08-23,Credit Card,Pending,3505
PAY052,O052,2024-03-23,Debit Card,Refunded,5276
PAY053,O053,2025-01-09,Debit Card,Refunded,12379
PAY054,O054,2024-09-06,UPI,Pending,5718
PAY055,O055,2024-04-16,UPI,Paid,2245
PAY056,O056,2024-08-31,Credit Card,Pending,16017
PAY057,O057,2024-02-21,Cash,Refunded,17207
PAY058,O058,2025-01-14,Credit Card,Paid,19744
PAY059,O059,2025-01-13,Debit Card,Refunded,17109
PAY060,O060,2024-07-15,Cash,Refunded,19986
PAY061,O061,2024-10-14,Debit Card,Pending,14707
PAY062,O062,2025-03-17,Cash,Paid,19079
PAY063,O063,2024-05-17,Cash,Refunded,6935
PAY064,O064,2024-07-10,Debit Card,Pending,1529
PAY065,O065,2025-04-15,UPI,Paid,4114
PAY066,O066,2024-11-23,Cash,Pending,5530
PAY067,O067,2024-02-08,UPI,Paid,7330
PAY068,O068,2024-07-14,Debit Card,Pending,4223
PAY069,O069,2024-11-11,UPI,Refunded,4217
PAY070,O070,2025-02-07,Credit Card,Paid,14521
PAY071,O071,2024-10-01,Debit Card,Pending,12627
PAY072,O072,2025-04-04,Debit Card,Paid,10311
PAY073,O073,2024-12-08,Credit Card,Pending,9290
PAY074,O074,2025-01-12,UPI,Refunded,7041
PAY075,O075,2024-04-13,Cash,Pending,2214
PAY076,O076,2024-04-11,Credit Card,Refunded,15669
PAY077,O077,2024-07-11,Debit Card,Pending,14856
PAY078,O078,2025-04-08,Cash,Paid,19270
PAY079,O079,2024-06-22,Cash,Refunded,12502
PAY080,O080,2024-03-03,Debit Card,Refunded,9284
